timestamp,회사명,제목,링크,경력,학력,고용형태,연봉정보,지역,직무분야,마감일
"2024-12-14 03:34:17,715",카카오,카카오 안드로이드 개발자 채용,https://careers.example.com/카카오/47642,인턴,대졸이상,파견직,"4,202만원 ~ 12,980만원",제주 제주시,"Scala, Akka, Kafka",2024-12-28
"2024-12-14 03:34:17,929",네이버,네이버 QA 엔지니어 채용,https://careers.example.com/네이버/97226,인턴,학력무관,정규직,"7,664만원 ~ 9,107만원",서울 강남구,"Go, Docker, Kubernetes",2025-01-14
"2024-12-14 03:34:17,039",째깍악어,째깍악어 QA 엔지니어 채용,https://careers.example.com/째깍악어/66420,신입·경력,초대졸이상,파견직,"7,161만원 ~ 13,960만원",인천 연수구,"Scala, Akka, Kafka",2025-01-04
"2024-12-14 03:34:17,742",펄어비스,펄어비스 게임 서버 개발자 채용,https://careers.example.com/펄어비스/10125,경력,초대졸이상,인턴,"6,046만원 ~ 14,619만원",서울 송파구,"Ruby, Rails, PostgreSQL",2024-12-27
"2024-12-14 03:34:17,676",비바리퍼블리카,비바리퍼블리카 풀스택 개발자 채용,https://careers.example.com/비바리퍼블리카/14799,인턴,대졸이상,정규직,"5,119만원 ~ 9,491만원",서울 성동구,"JavaScript, React, Node.js",2024-12-25
"2024-12-14 03:34:17,711",토스,토스 게임 서버 개발자 채용,https://careers.example.com/토스/90541,신입·경력,초대졸이상,프리랜서,"5,449만원 ~ 13,334만원",광주 북구,"Rust, WebAssembly",2024-12-23
"2024-12-14 03:34:17,557",무신사,무신사 iOS 개발자 채용,https://careers.example.com/무신사/92184,신입,고졸이상,정규직,"7,854만원 ~ 12,981만원",인천 연수구,"JavaScript, Vue.js, TypeScript",2025-01-09
"2024-12-14 03:34:17,246",네이버,네이버 시스템 엔지니어 채용,https://careers.example.com/네이버/77527,인턴,대졸이상,파견직,"5,336만원 ~ 11,213만원",서울 성동구,"Go, Docker, Kubernetes",2025-01-08
"2024-12-14 03:34:17,370",그린랩스,그린랩스 데이터 엔지니어 채용,https://careers.example.com/그린랩스/87537,경력무관,학력무관,인턴,"5,744만원 ~ 14,042만원",경기 성남시,"Java, Spring, MySQL",2025-01-03
"2024-12-14 03:34:17,990",펄어비스,펄어비스 안드로이드 개발자 채용,https://careers.example.com/펄어비스/72408,전문연구요원,초대졸이상,파견직,"6,266만원 ~ 13,778만원",인천 연수구,"C++, Unreal Engine",2024-12-29
"2024-12-14 03:34:17,061",직방,직방 블록체인 개발자 채용,https://careers.example.com/직방/65590,신입,대졸이상,파견직,"3,789만원 ~ 9,036만원",경기 성남시,"JavaScript, Vue.js, TypeScript",2025-01-14
"2024-12-14 03:34:17,167",SK플래닛,SK플래닛 DevOps 엔지니어 채용,https://careers.example.com/sk플래닛/66097,전문연구요원,박사이상,정규직,"7,346만원 ~ 12,574만원",부산 해운대구,"C++, Unreal Engine",2025-01-03
"2024-12-14 03:34:17,822",두나무,두나무 안드로이드 개발자 채용,https://careers.example.com/두나무/49423,경력무관,학력무관,정규직,"7,057만원 ~ 10,356만원",제주 제주시,"JavaScript, React, Node.js",2025-01-06
"2024-12-14 03:34:17,228",왓챠,왓챠 게임 서버 개발자 채용,https://careers.example.com/왓챠/46537,인턴,고졸이상,계약직,"3,650만원 ~ 11,725만원",서울 마포구,"Kotlin, Android, Firebase",2024-12-23
"2024-12-14 03:34:17,859",우아한형제들,우아한형제들 데이터 엔지니어 채용,https://careers.example.com/우아한형제들/66762,인턴,학력무관,계약직,"4,650만원 ~ 11,804만원",경기 성남시,"Kotlin, Android, Firebase",2025-01-11
"2024-12-14 03:34:17,764",크래프톤,크래프톤 클라우드 엔지니어 채용,https://careers.example.com/크래프톤/11764,인턴,대졸이상,파견직,"5,387만원 ~ 9,206만원",경기 성남시,"Python, Django, AWS",2025-01-05
"2024-12-14 03:34:17,857",째깍악어,째깍악어 백엔드 개발자 채용,https://careers.example.com/째깍악어/22304,신입,학력무관,프리랜서,"4,793만원 ~ 13,757만원",서울 마포구,"Ruby, Rails, PostgreSQL",2025-01-14
